Bloco Econômico,,Via,URF
Europa,,MARITIMA,0817800 - PORTO DE SANTOS
União Europeia - UE,,MARITIMA,0817800 - PORTO DE SANTOS
União Europeia - UE,,AEREA,0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS
Europa,,AEREA,0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS
Ásia (Exclusive Oriente Médio),,AEREA,0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS
União Europeia - UE,,AEREA,0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS
Europa,,AEREA,0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS
Europa,,MARITIMA,0817800 - PORTO DE SANTOS
União Europeia - UE,,MARITIMA,0817800 - PORTO DE SANTOS
América do Norte,,AEREA,0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS
Europa,,AEREA,0717700 - AEROPORTO INTERNACIONAL DO RIO DE JANEIRO
União Europeia - UE,,AEREA,0927501 - IRF - AEROPORTO INTERNACIONAL DE FLORIANÓPOLIS
Europa,,AEREA,0927501 - IRF - AEROPORTO INTERNACIONAL DE FLORIANÓPOLIS
Europa,,AEREA,0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS
Europa,,MARITIMA,0927700 - PORTO DE SAO FRANCISCO DO SUL
União Europeia - UE,,MARITIMA,0927700 - PORTO DE SAO FRANCISCO DO SUL
Europa,,AEREA,0727600 - PORTO DE VITORIA
União Europeia - UE,,AEREA,0727600 - PORTO DE VITORIA
União Europeia - UE,,AEREA,0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS
Europa,,AEREA,0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS
América do Norte,,AEREA,0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS
União Europeia - UE,,AEREA,0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS
Europa,,AEREA,0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS
Europa,,AEREA,0727600 - PORTO DE VITORIA
União Europeia - UE,,AEREA,0727600 - PORTO DE VITORIA
União Europeia - UE,,AEREA,0517801 - IRF - AEROPORTO INTERNACIONAL DE SALVADOR
Europa,,AEREA,0517801 - IRF - AEROPORTO INTERNACIONAL DE SALVADOR
Ásia (Exclusive Oriente Médio),,AEREA,0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS
Ásia (Exclusive Oriente Médio),,AEREA,0227700 - AEROPORTO EDUARDO GOMES
Ásia (Exclusive Oriente Médio),,AEREA,0227700 - AEROPORTO EDUARDO GOMES
Ásia (Exclusive Oriente Médio),,AEREA,0617700 - ALF - BELO HORIZONTE
Europa,,AEREA,0227600 - PORTO DE MANAUS
União Europeia - UE,,AEREA,0227600 - PORTO DE MANAUS
América do Norte,,AEREA,0517801 - IRF - AEROPORTO INTERNACIONAL DE SALVADOR
União Europeia - UE,,MARITIMA,0517800 - ALF - SALVADOR
Europa,,MARITIMA,0517800 - ALF - SALVADOR
Ásia (Exclusive Oriente Médio),,AEREA,0227700 - AEROPORTO EDUARDO GOMES
União Europeia - UE,,AEREA,0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS
Europa,,AEREA,0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS
América do Norte,,AEREA,0617700 - ALF - BELO HORIZONTE
Ásia (Exclusive Oriente Médio),,AEREA,0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS
Ásia (Exclusive Oriente Médio),,AEREA,0227700 - AEROPORTO EDUARDO GOMES
América do Sul,,AEREA,0227700 - AEROPORTO EDUARDO GOMES
Mercado Comum do Sul - Mercosul,,AEREA,0227700 - AEROPORTO EDUARDO GOMES
União Europeia - UE,,MARITIMA,0817800 - PORTO DE SANTOS
Europa,,MARITIMA,0817800 - PORTO DE SANTOS
Europa,,AEREA,0917900 - ALF - CURITIBA
União Europeia - UE,,AEREA,0917900 - ALF - CURITIBA
Ásia (Exclusive Oriente Médio),,MARITIMA,0817800 - PORTO DE SANTOS
América do Norte,,AEREA,0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS
Europa,,AEREA,0717700 - AEROPORTO INTERNACIONAL DO RIO DE JANEIRO
União Europeia - UE,,AEREA,0717700 - AEROPORTO INTERNACIONAL DO RIO DE JANEIRO
América do Norte,,AEREA,1017801 - IRF - AEROPORTO INTERNACIONAL SALGADO FILHO
União Europeia - UE,,AEREA,0617700 - ALF - BELO HORIZONTE
Europa,,AEREA,0617700 - ALF - BELO HORIZONTE
América do Norte,,AEREA,0717700 - AEROPORTO INTERNACIONAL DO RIO DE JANEIRO
