UF do Produto,URF,Código NCM,Países,Soma quantidades,Soma Frete
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,2,516
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,1,45
Bahia,Aeroporto Internacional de Salvador,84715010,China,1,18
Bahia,Aeroporto Internacional de Salvador,84715020,Alemanha,1,59
Bahia,Aeroporto Internacional de Guarulhos,84715010,China,1,157
Pernambuco,Aeroporto Internacional do Recife,84715010,Estados Unidos,2,392
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715010,Áustria,2,30
Rio Grande do Norte,Aeroporto Internacional do Recife,84715010,Alemanha,1,13
Rio Grande do Norte,Aeroporto Internacional do Recife,84715010,México,1,760
Bahia,Aeroporto Internacional de Salvador,84715010,Japão,1,184
Bahia,Aeroporto Internacional de Viracopos,84715010,Estados Unidos,5,448
Pernambuco,Aeroporto Internacional do Recife,84715010,Itália,1,325
Bahia,Aeroporto Internacional de Salvador,84715030,França,1,898
Pernambuco,Aeroporto Internacional de Guarulhos,84715010,França,2,26
Bahia,Aeroporto Internacional de Salvador,84715010,China,13,178
Bahia,Aeroporto Internacional de Salvador,84715010,Estados Unidos,4,115
Bahia,Aeroporto Internacional de Salvador,84715010,México,14,378
Bahia,Aeroporto Internacional de Guarulhos,84715010,Alemanha,1,37
Bahia,Aeroporto Internacional de Viracopos,84715010,Estados Unidos,2,110
Ceará,Aeroporto Internacional de Fortaleza,84715010,México,130,2717
Paraíba,Aeroporto Internacional do Rio de Janeiro,84715010,Alemanha,1,282
Pernambuco,Aeroporto Internacional do Recife,84715030,"Tcheca, República",3,1647
Bahia,Aeroporto Internacional de Salvador,84715010,México,2,296
Bahia,Aeroporto Internacional de Guarulhos,84715010,México,1,159
Ceará,Aeroporto Internacional de Fortaleza,84715010,México,25,262
Alagoas,Aeroporto Internacional de Guarulhos,84715010,China,10,4222
Bahia,Aeroporto Internacional de Salvador,84715010,Espanha,1,631
Bahia,Aeroporto Internacional do Rio de Janeiro,84715010,Estados Unidos,1,390
Bahia,Aeroporto Internacional de Guarulhos,84715010,Canadá,1,36
Paraíba,Aeroporto Internacional do Recife,84715010,Estados Unidos,3,8970
Piauí,Aeroporto Internacional de Salvador,84715010,Áustria,4,19
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,3,1330
Bahia,Aeroporto Internacional de Salvador,84715010,Espanha,1,622
Bahia,Aeroporto Internacional de Viracopos,84715010,China,4,45
Bahia,Aeroporto Internacional de Viracopos,84715010,Malásia,1,19
Bahia,Aeroporto Internacional de Salvador,84715010,China,900,3109
Maranhão,Aeroporto Internacional de Guarulhos,84715010,Estados Unidos,2,866
Paraíba,Aeroporto Internacional do Recife,84715010,China,300,2484
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,1,9
Bahia,Aeroporto Internacional de Salvador,84715010,Espanha,1,797
Bahia,Aeroporto Internacional de Guarulhos,84715010,Estados Unidos,2,275
Bahia,Aeroporto Internacional de Viracopos,84715010,Espanha,3,21
Rio Grande do Norte,Aeroporto Internacional de Guarulhos,84715010,Áustria,2,95
Bahia,Aeroporto Internacional de Salvador,84715010,Canadá,59,8557
Bahia,Aeroporto Internacional de Salvador,84715010,Estados Unidos,2,510
Bahia,Aeroporto Internacional de Salvador,84715020,Itália,1,871
Ceará,Aeroporto Internacional de Fortaleza,84715010,China,1,1045
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,7,3299
Bahia,Aeroporto Internacional de Salvador,84715010,Espanha,1,38
Bahia,Aeroporto Internacional de Salvador,84715010,México,1,16
Paraíba,Aeroporto Internacional do Rio de Janeiro,84715010,Reino Unido,1,704
Bahia,Aeroporto Internacional de Salvador,84715010,Estados Unidos,1,7
Bahia,Aeroporto Internacional de Salvador,84715010,México,9,441
Ceará,Aeroporto Internacional de Fortaleza,84715010,China,20,288
Ceará,Aeroporto Internacional de Fortaleza,84715010,Itália,2,30
Bahia,Aeroporto Internacional de Salvador,84715010,Taiwan (Formosa),1,552
Ceará,Aeroporto Internacional de Fortaleza,84715010,China,40,453
Paraíba,Aeroporto Internacional do Recife,84715010,China,25,90
Paraíba,Aeroporto Internacional do Recife,84715010,Taiwan (Formosa),10,64
Pernambuco,Aeroporto Internacional do Recife,84715010,Estados Unidos,1,31
Bahia,Aeroporto Internacional de Salvador,84715010,Espanha,2,2
